1	2330	5	412	1500	20	1970	DETACHED_OR_LINKED_HOUSE	electricity	heatpump	8104.37904611	
5	2330	5	230	NULL	220	2010	DETACHED_OR_LINKED_HOUSE	electricity	heatpump	4358.83603722	
10	2750	4	250	NULL	122	2000	DETACHED_OR_LINKED_HOUSE	electricity	heatpump	3705.92957	
11	2660	4	150	NULL	50	2000	DETACHED_OR_LINKED_HOUSE	electricity	NULLNULL	3986.13913444	
13	2180	3	146	NULL	30	2000	SEMIDETACHED_OR_ROW_HOUSE	electricity	heatpump	2986.01096028	
18	2730	4	190	650	NULL	2000	DETACHED_OR_LINKED_HOUSE	electricity	heatpump	3002.34520861	
