datetime;p
2017-10-01 00:05:00 ;27503.71547420965
2017-10-01 00:15:01 ;25349.610648918468
2017-10-01 00:25:02 ;26596.06322795341
2017-10-01 00:35:03 ;27706.362728785356
2017-10-01 00:45:04 ;26430.78202995008
2017-10-01 00:55:05 ;27406.479201331116
2017-10-01 01:05:06 ;26929.77371048253
2017-10-01 01:15:07 ;25270.2462562396
2017-10-01 01:25:08 ;25775.116472545757
2017-10-01 01:35:09 ;25777.595673876873
2017-10-01 01:45:10 ;27005.9384359401
2017-10-01 01:55:11 ;27947.504159733777
2017-10-01 02:05:12 ;26914.01830282862
2017-10-01 02:15:13 ;26152.16638935108
2017-10-01 02:25:14 ;26216.51247920133
2017-10-01 02:35:15 ;27288.698835274543
2017-10-01 02:45:16 ;26016.55074875208
2017-10-01 02:55:17 ;27233.131447587355
2017-10-01 03:05:18 ;25683.16472545757
2017-10-01 03:15:19 ;26486.404326123127
2017-10-01 03:25:20 ;26501.377703826955
2017-10-01 03:35:21 ;26177.502495840265
2017-10-01 03:45:22 ;26551.357737104827
2017-10-01 03:55:23 ;26994.434276206324
2017-10-01 04:05:24 ;25259.477537437604
2017-10-01 04:15:25 ;25839.787021630615
2017-10-01 04:25:26 ;25984.901830282863
2017-10-01 04:35:27 ;25483.086522462563
2017-10-01 04:45:28 ;26431.923460898503
2017-10-01 04:55:29 ;27110.479201331116
2017-10-01 05:05:30 ;25356.01996672213
2017-10-01 05:15:31 ;25595.584026622295
2017-10-01 05:25:32 ;25681.307820299502
2017-10-01 05:35:33 ;27553.77870216306
2017-10-01 05:45:34 ;26392.0
2017-10-01 05:55:35 ;25581.149750415974
2017-10-01 06:05:36 ;25702.955074875208
2017-10-01 06:15:37 ;26235.8153078203
2017-10-01 06:25:38 ;25768.67886855241
2017-10-01 06:35:39 ;25500.831946755407
2017-10-01 06:45:40 ;26783.98169717138
2017-10-01 06:55:41 ;26251.32113144759
2017-10-01 07:05:42 ;26593.176372712147
2017-10-01 07:15:43 ;25750.314475873543
2017-10-01 07:25:44 ;27054.028286189685
2017-10-01 07:35:45 ;24968.48752079867
2017-10-01 07:45:46 ;26083.87853577371
2017-10-01 07:55:47 ;25397.96339434276
2017-10-01 08:05:48 ;26701.194675540766
2017-10-01 08:15:49 ;26219.435940099833
2017-10-01 08:25:50 ;26404.542429284527
2017-10-01 08:35:51 ;26703.565723793676
2017-10-01 08:45:52 ;27060.0149750416
2017-10-01 08:55:53 ;25731.52745424293
2017-10-01 09:05:54 ;27421.422628951746
2017-10-01 09:15:55 ;26831.14143094842
2017-10-01 09:25:56 ;26878.983361064893
2017-10-01 09:35:57 ;27110.83361064892
2017-10-01 09:45:58 ;26381.079866888518
2017-10-01 09:55:59 ;26619.642262895173
2017-10-01 10:06:00 ;27268.193011647254
2017-10-01 10:16:01 ;26418.901830282863
2017-10-01 10:26:02 ;27574.485856905158
2017-10-01 10:36:03 ;25428.69051580699
2017-10-01 10:46:04 ;26115.517470881863
2017-10-01 10:56:05 ;26412.0149750416
2017-10-01 11:06:06 ;26402.955074875208
2017-10-01 11:16:07 ;26051.08485856905
2017-10-01 11:26:08 ;26451.73710482529
2017-10-01 11:36:09 ;26744.455906821964
2017-10-01 11:46:10 ;26316.52745424293
2017-10-01 11:56:11 ;24961.03993344426
2017-10-01 12:06:12 ;26100.12479201331
2017-10-01 12:16:13 ;26907.049916805325
2017-10-01 12:26:14 ;26424.584026622295
2017-10-01 12:36:15 ;26394.745424292847
2017-10-01 12:46:16 ;28092.054908485858
2017-10-01 12:56:17 ;26119.048252911813
2017-10-01 13:06:18 ;26754.42429284526
2017-10-01 13:16:19 ;26386.08818635607
2017-10-01 13:26:20 ;27179.30282861897
2017-10-01 13:36:21 ;25255.153078202995
2017-10-01 13:46:22 ;26574.0
2017-10-01 13:56:23 ;26090.44925124792
2017-10-01 14:06:24 ;26198.93677204659
2017-10-01 14:16:25 ;26331.795341098168
2017-10-01 14:26:26 ;25515.22296173045
2017-10-01 14:36:27 ;26733.81863560732
2017-10-01 14:46:28 ;27072.86023294509
2017-10-01 14:56:29 ;26516.688851913477
2017-10-01 15:06:30 ;26278.94176372712
2017-10-01 15:16:31 ;25427.57237936772
2017-10-01 15:26:32 ;25205.151414309483
2017-10-01 15:36:33 ;24993.276206322796
2017-10-01 15:46:34 ;25574.51247920133
2017-10-01 15:56:35 ;26220.08485856905
2017-10-01 16:06:36 ;25200.18801996672
2017-10-01 16:16:37 ;25639.785357737106
2017-10-01 16:26:38 ;25689.09983361065
2017-10-01 16:36:39 ;25692.71880199667
2017-10-01 16:46:40 ;24930.03993344426
2017-10-01 16:56:41 ;25017.32778702163
2017-10-01 17:06:42 ;25048.11813643927
2017-10-01 17:16:43 ;26485.57570715474
2017-10-01 17:26:44 ;25996.229617304492
2017-10-01 17:36:45 ;26649.602329450914
2017-10-01 17:46:46 ;26308.67221297837
