datetime;p
2017-10-01 00:00:00 ;3484.155357
2017-10-02 00:00:00 ;3274.04982581
2017-10-03 00:00:00 ;3250.25379042
2017-10-04 00:00:00 ;3194.82137938
2017-10-05 00:00:00 ;2985.74697931
2017-10-06 00:00:00 ;3368.6433424
2017-10-07 00:00:00 ;3559.82385279
2017-10-08 00:00:00 ;3331.92831101
2017-10-09 00:00:00 ;3672.13669981
2017-10-10 00:00:00 ;2897.90009491
2017-10-11 00:00:00 ;3392.81964538
2017-10-12 00:00:00 ;3247.5550103
2017-10-13 00:00:00 ;3316.08775361
2017-10-14 00:00:00 ;3641.25602417
2017-10-15 00:00:00 ;3142.39423155
2017-10-16 00:00:00 ;3163.65432113
2017-10-17 00:00:00 ;3061.73862571
2017-10-18 00:00:00 ;3043.76580132
2017-10-19 00:00:00 ;2832.67288389
2017-10-20 00:00:00 ;4051.8352353
2017-10-21 00:00:00 ;4631.56546799
2017-10-22 00:00:00 ;4256.52478559
2017-10-23 00:00:00 ;4736.17528732
2017-10-24 00:00:00 ;3989.26777158
2017-10-25 00:00:00 ;4461.93680702
2017-10-26 00:00:00 ;4571.12922155
2017-10-27 00:00:00 ;4149.99215296
2017-10-28 00:00:00 ;3732.6915002
2017-10-29 00:00:00 ;4766.29871182
2017-10-30 00:00:00 ;4314.84789528
2017-10-31 00:00:00 ;4525.9060659
2017-11-01 00:00:00 ;4376.09387514
2017-11-02 00:00:00 ;4705.25058448
2017-11-03 00:00:00 ;4263.84078888
2017-11-04 00:00:00 ;3656.59760191
2017-11-05 00:00:00 ;3669.49795144
2017-11-06 00:00:00 ;3855.25492465
2017-11-07 00:00:00 ;4773.61362006
2017-11-08 00:00:00 ;4180.20586329
2017-11-09 00:00:00 ;4220.56301432
2017-11-10 00:00:00 ;3966.78234048
2017-11-11 00:00:00 ;3677.67903521
2017-11-12 00:00:00 ;4438.02430499
2017-11-13 00:00:00 ;4760.59831948
2017-11-14 00:00:00 ;4420.46467674
2017-11-15 00:00:00 ;4678.6710802
