datetime;p
2017-10-06 17:56:06 ;2165.17097024
2017-10-07 17:56:07 ;2589.7559519
2017-10-08 17:56:08 ;3743.09660768
2017-10-09 17:56:09 ;3442.55097742
2017-10-10 17:56:10 ;3449.14697747
2017-10-11 17:56:11 ;3979.04481378
2017-10-12 17:56:13 ;3733.83368441
2017-10-13 17:56:15 ;3074.1526024
2017-10-14 17:56:16 ;2883.82802282
2017-10-15 17:56:17 ;1914.22571498
2017-10-16 17:56:18 ;2500.70636096
2017-10-17 17:56:20 ;2609.27339645
2017-10-18 17:56:22 ;3052.37526186
2017-10-19 17:56:23 ;3271.79807057
2017-10-20 19:59:53 ;5343.51155658
2017-10-21 19:59:54 ;4097.34356084
2017-10-22 19:59:55 ;4281.41289553
2017-10-23 19:59:57 ;5832.37246823
2017-10-24 19:59:59 ;5129.73217903
2017-10-25 20:00:00 ;4489.70171642
2017-10-26 20:00:01 ;4920.1774496
2017-10-27 20:00:03 ;5799.76576931
2017-10-28 20:00:05 ;4652.4932929
2017-10-29 20:00:06 ;5636.99371535
2017-10-30 20:00:07 ;4694.39766441
2017-10-31 20:00:09 ;5564.81562927
2017-11-01 20:00:11 ;4958.06742978
2017-11-02 20:00:12 ;4462.19805326
2017-11-03 20:00:13 ;3326.71989908
2017-11-04 20:00:14 ;2506.63327971
2017-11-05 20:00:15 ;3748.72309669
2017-11-06 20:00:17 ;4315.07465191
2017-11-07 20:00:18 ;4840.00534716
2017-11-08 20:00:19 ;3064.52097777
2017-11-09 20:00:20 ;4535.93892502
2017-11-10 20:00:22 ;3533.79956251
2017-11-11 20:00:23 ;4422.01412021
2017-11-12 20:00:24 ;4928.16784528
2017-11-13 20:00:25 ;5521.38448629
2017-11-14 20:00:26 ;4692.16587771
2017-11-15 20:00:27 ;4476.02725663
