datetime;p
2017-10-03 00:00:00 ;1435.35218994
2017-10-04 00:00:00 ;1661.20986054
2017-10-05 00:00:00 ;1492.3786746
2017-10-06 00:00:00 ;1435.28461645
2017-10-07 00:00:00 ;1632.94125272
2017-10-08 00:00:00 ;1741.88752966
2017-10-09 00:00:00 ;1645.07997593
2017-10-10 00:00:00 ;1639.77544241
2017-10-11 00:00:00 ;1983.50662608
2017-10-12 00:00:00 ;1717.24830731
2017-10-13 00:00:00 ;1643.03943196
2017-10-14 00:00:00 ;2038.24296891
2017-10-15 00:00:00 ;2181.42735122
2017-10-16 00:00:00 ;1378.02791602
2017-10-17 00:00:00 ;1922.26256337
2017-10-18 00:00:00 ;1753.77065346
2017-10-19 00:00:00 ;2250.99635274
2017-10-20 00:00:00 ;1959.90456129
2017-10-21 00:00:00 ;2213.81105543
2017-10-22 00:00:00 ;2242.69580565
2017-10-23 00:00:00 ;2037.25165218
2017-10-24 00:00:00 ;2156.06668904
2017-10-25 00:00:00 ;2672.87088262
2017-10-26 00:00:00 ;2011.15570241
2017-10-27 00:00:00 ;1804.28898971
2017-10-28 00:00:00 ;2277.38912744
2017-10-29 00:00:00 ;1839.59842365
2017-10-30 00:00:00 ;1918.18669923
2017-10-31 00:00:00 ;2432.54216338
2017-11-01 00:00:00 ;2809.7348441
2017-11-02 00:00:00 ;2685.58000486
2017-11-03 00:00:00 ;1853.92426101
2017-11-04 00:00:00 ;1777.92920221
2017-11-05 00:00:00 ;1810.94560248
2017-11-06 00:00:00 ;1796.97407437
2017-11-07 00:00:00 ;1930.06289279
2017-11-08 00:00:00 ;1917.72386894
2017-11-09 00:00:00 ;1732.72762205
2017-11-10 00:00:00 ;1837.66505017
2017-11-11 00:00:00 ;2037.14764875
2017-11-12 00:00:00 ;2054.6511383
2017-11-13 00:00:00 ;2053.59616208
2017-11-14 00:00:00 ;2335.70611791
2017-11-15 00:00:00 ;2420.21757598
