datetime;p
2017-10-01 12:00:00 ;26257.4026227
2017-10-02 12:00:01 ;26510.5329221
2017-10-03 12:00:02 ;25638.3281368
2017-10-04 12:00:05 ;18954.9723164
2017-10-05 12:00:10 ;17540.8175253
2017-10-06 12:00:11 ;8673.35278868
2017-10-07 12:00:14 ;3076.21370291
2017-10-08 12:00:19 ;2454.96629669
2017-10-09 12:00:20 ;3199.61617342
2017-10-10 12:00:21 ;2736.63446448
2017-10-11 12:00:23 ;3924.32130043
2017-10-12 12:00:25 ;4042.3292323
2017-10-13 12:00:26 ;2575.14290178
2017-10-14 12:00:28 ;3848.24074953
2017-10-15 12:00:29 ;2716.44869851
2017-10-16 12:00:30 ;3481.45739682
2017-10-17 12:00:32 ;2417.69444798
2017-10-18 12:00:33 ;4517.55451904
2017-10-19 12:00:34 ;1975.81191928
2017-10-20 19:59:52 ;4409.51741299
2017-10-21 19:59:53 ;4406.73999144
2017-10-22 19:59:54 ;4676.90817342
2017-10-23 19:59:56 ;4044.05343688
2017-10-24 19:59:57 ;4326.54433925
2017-10-25 19:59:59 ;4340.5804331
2017-10-26 20:00:00 ;4408.28179903
2017-10-27 20:00:02 ;4274.24150183
2017-10-28 20:00:03 ;4276.65547094
2017-10-29 20:00:05 ;3834.76769945
2017-10-30 20:00:06 ;4711.47390655
2017-10-31 20:00:07 ;4189.16091249
2017-11-01 20:00:08 ;4793.69699775
2017-11-02 20:00:10 ;4107.71205528
2017-11-03 20:00:12 ;3537.02783533
2017-11-04 20:00:13 ;2694.55223259
2017-11-05 20:00:15 ;3207.37308596
2017-11-06 20:00:16 ;3556.34812852
2017-11-07 20:00:18 ;4061.83805743
2017-11-08 20:00:19 ;3559.94376288
2017-11-09 20:00:21 ;3208.91722414
2017-11-10 20:00:23 ;3698.98244254
2017-11-11 20:00:25 ;4613.62345779
2017-11-12 20:00:27 ;3201.53265587
2017-11-13 20:00:28 ;4328.2249022
2017-11-14 20:00:30 ;4941.46474619
2017-11-15 20:00:32 ;4159.05688526
