datetime;p
2017-10-04 21:25:46 ;1736.20025231
2017-10-05 21:25:47 ;3032.83766392
2017-10-06 21:25:48 ;1843.68480689
2017-10-07 21:25:49 ;1969.43876807
2017-10-08 21:25:50 ;1884.82981678
2017-10-09 21:25:51 ;2919.40888416
2017-10-10 21:25:52 ;3107.27918658
2017-10-11 21:25:53 ;2081.73548066
2017-10-12 21:25:55 ;4567.65777413
2017-10-13 21:25:57 ;2146.91305656
2017-10-14 21:25:58 ;2019.43540659
2017-10-15 21:26:00 ;1593.61345802
2017-10-16 21:26:02 ;1774.07403849
2017-10-17 21:26:03 ;1849.41920811
2017-10-18 21:26:04 ;2847.95140103
2017-10-19 21:26:05 ;5535.34943636
2017-10-20 21:26:07 ;2661.70985625
2017-10-21 21:26:09 ;5608.42060856
2017-10-22 21:26:10 ;2635.86665818
2017-10-23 21:26:12 ;5471.86140367
2017-10-24 21:26:14 ;3636.75751438
2017-10-25 21:26:15 ;5362.40014583
2017-10-26 21:26:16 ;4204.88532673
2017-10-27 21:26:18 ;5428.45159834
2017-10-28 21:26:20 ;3066.28485781
2017-10-29 21:26:21 ;4100.1135172
2017-10-30 21:26:22 ;5681.65184431
2017-10-31 21:26:23 ;3796.95235064
2017-11-01 21:26:25 ;5217.27130159
2017-11-02 21:26:27 ;3317.94365871
2017-11-03 21:26:29 ;5303.60696512
2017-11-04 21:26:31 ;2255.64089952
2017-11-05 21:26:33 ;2003.46144142
2017-11-06 21:26:34 ;4726.08924665
2017-11-07 21:26:35 ;2978.24353603
2017-11-08 21:26:37 ;2441.62793255
2017-11-09 21:26:38 ;4609.80308098
2017-11-10 21:26:39 ;2435.67069049
2017-11-11 21:26:41 ;4286.97134292
2017-11-12 21:26:42 ;3924.08365547
2017-11-13 21:26:44 ;4111.60779389
2017-11-14 21:26:45 ;4464.83330247
2017-11-15 21:26:47 ;3325.50727422
