datetime;p
2017-10-01 00:00:00 ;2727.42896494
2017-10-02 00:00:00 ;2438.8203956
2017-10-03 00:00:00 ;2483.6384732
2017-10-04 00:00:00 ;2379.53002789
2017-10-05 00:00:00 ;1937.24199951
2017-10-06 00:00:00 ;2609.14297784
2017-10-07 00:00:00 ;2204.4103119
2017-10-08 00:00:00 ;2781.91106996
2017-10-09 00:00:00 ;2818.69845557
2017-10-10 00:00:00 ;2527.89162488
2017-10-11 00:00:00 ;2220.51660841
2017-10-12 00:00:00 ;2442.77024097
2017-10-13 00:00:00 ;1894.50645247
2017-10-14 00:00:00 ;2451.30339575
2017-10-15 00:00:00 ;2355.50671281
2017-10-16 00:00:00 ;1678.94252448
2017-10-17 00:00:00 ;2298.43739077
2017-10-18 00:00:00 ;2179.69281961
2017-10-19 00:00:00 ;1474.38725214
2017-10-20 00:00:00 ;2906.45398255
2017-10-21 00:00:00 ;3371.49801507
2017-10-22 00:00:00 ;2968.9426627
2017-10-23 00:00:00 ;3376.0174998
2017-10-24 00:00:00 ;3239.32582956
2017-10-25 00:00:00 ;3182.77785236
2017-10-26 00:00:00 ;3022.96457217
2017-10-27 00:00:00 ;2880.90723487
2017-10-28 00:00:00 ;2601.28160228
2017-10-29 00:00:00 ;2958.02288168
2017-10-30 00:00:00 ;2897.70498027
2017-10-31 00:00:00 ;3304.28463791
2017-11-01 00:00:00 ;3500.44240229
2017-11-02 00:00:00 ;2917.25447622
2017-11-03 00:00:00 ;2639.56416014
2017-11-04 00:00:00 ;2802.93883173
2017-11-05 00:00:00 ;2711.61712249
2017-11-06 00:00:00 ;2388.98763918
2017-11-07 00:00:00 ;2623.49251745
2017-11-08 00:00:00 ;2556.95338071
2017-11-09 00:00:00 ;2673.88104304
2017-11-10 00:00:00 ;2355.82922651
2017-11-11 00:00:00 ;3137.95883197
2017-11-12 00:00:00 ;3249.01707136
2017-11-13 00:00:00 ;2809.75912595
2017-11-14 00:00:00 ;2900.76652625
2017-11-15 00:00:00 ;3061.68506152
