datetime;p
2017-10-01 00:00:00 ;3008.94591498
2017-10-02 00:00:00 ;3899.05455955
2017-10-03 00:00:00 ;3191.18957675
2017-10-04 00:00:00 ;2779.77562641
2017-10-05 00:00:00 ;2947.86167467
2017-10-06 00:00:00 ;2909.63448451
2017-10-07 00:00:00 ;3025.03201204
2017-10-08 00:00:00 ;2836.85777443
2017-10-09 00:00:00 ;2996.08479069
2017-10-10 00:00:00 ;3147.87194593
2017-10-11 00:00:00 ;3519.01102984
2017-10-12 00:00:00 ;3706.85975857
2017-10-13 00:00:00 ;3223.40410412
2017-10-14 00:00:00 ;2851.68844471
2017-10-15 00:00:00 ;2913.99289368
2017-10-16 00:00:00 ;2426.0234951
2017-10-17 00:00:00 ;3396.51134825
2017-10-18 00:00:00 ;3051.52230877
2017-10-19 00:00:00 ;2836.73573829
2017-10-20 00:00:00 ;3411.69712156
2017-10-21 00:00:00 ;3482.26784412
2017-10-22 00:00:00 ;3623.53248226
2017-10-23 00:00:00 ;4002.25352716
2017-10-24 00:00:00 ;4194.51733198
2017-10-25 00:00:00 ;3812.70716774
2017-10-26 00:00:00 ;4658.89154061
2017-10-27 00:00:00 ;4372.90739691
2017-10-28 00:00:00 ;3806.64032083
2017-10-29 00:00:00 ;4229.07430384
2017-10-30 00:00:00 ;4054.10092359
2017-10-31 00:00:00 ;4050.41402299
2017-11-01 00:00:00 ;4472.30959931
2017-11-02 00:00:00 ;4062.94578829
2017-11-03 00:00:00 ;3615.79425007
2017-11-04 00:00:00 ;3212.30958774
2017-11-05 00:00:00 ;3427.63511996
2017-11-06 00:00:00 ;3543.14529756
2017-11-07 00:00:00 ;4153.57028772
2017-11-08 00:00:00 ;3481.4277844
2017-11-09 00:00:00 ;3578.43055716
2017-11-10 00:00:00 ;3141.93650536
2017-11-11 00:00:00 ;3188.49407421
2017-11-12 00:00:00 ;3822.15349182
2017-11-13 00:00:00 ;4029.89235078
2017-11-14 00:00:00 ;4175.83874216
2017-11-15 00:00:00 ;4005.74126756
