datetime;p
2017-10-04 19:51:44 ;879.714899133
2017-10-05 19:51:45 ;873.136236849
2017-10-06 19:51:46 ;877.730396639
2017-10-07 19:51:47 ;1658.13518362
2017-10-08 19:51:48 ;1237.50090855
2017-10-09 19:51:49 ;1256.47479775
2017-10-10 19:51:50 ;1423.15609773
2017-10-11 19:51:51 ;1147.99438664
2017-10-12 19:51:52 ;1405.05830951
2017-10-13 19:51:53 ;1122.2969873
2017-10-14 19:51:54 ;1496.95761623
2017-10-15 19:51:55 ;1736.68298978
2017-10-16 19:51:56 ;1451.11132844
2017-10-17 19:51:58 ;1357.89563778
2017-10-18 19:51:59 ;1793.22775199
2017-10-19 19:52:00 ;1718.53896366
2017-10-20 19:59:43 ;2077.06086735
2017-10-21 19:59:44 ;2504.43572412
2017-10-22 19:59:45 ;1995.12650317
2017-10-23 19:59:46 ;2520.14801741
2017-10-24 19:59:48 ;3019.40372218
2017-10-25 19:59:49 ;2249.95938751
2017-10-26 19:59:51 ;2595.83728198
2017-10-27 19:59:52 ;1917.02557841
2017-10-28 19:59:53 ;1970.43228666
2017-10-29 19:59:54 ;2425.7862318
2017-10-30 19:59:56 ;2523.09168875
2017-10-31 19:59:57 ;3069.23199694
2017-11-01 19:59:59 ;3074.75772271
2017-11-02 20:00:00 ;3093.8659622
2017-11-03 20:00:01 ;1968.80655316
2017-11-04 20:00:02 ;1947.71692785
2017-11-05 20:00:04 ;2182.95747784
2017-11-06 20:00:06 ;1945.93762804
2017-11-07 20:00:07 ;2256.76487541
2017-11-08 20:00:08 ;2160.21440476
2017-11-09 20:00:10 ;2055.83779311
2017-11-10 20:00:12 ;2016.24910591
2017-11-11 20:00:13 ;2212.82683071
2017-11-12 20:00:14 ;2357.71842918
2017-11-13 20:00:15 ;2118.02553182
2017-11-14 20:00:17 ;2691.57183861
2017-11-15 20:00:19 ;2629.01405076
