datetime;p
2017-10-01 00:00:00 ;1982.10701265
2017-10-02 00:00:00 ;2055.41698591
2017-10-03 00:00:00 ;3975.38451211
2017-10-04 00:00:00 ;2513.16003287
2017-10-05 00:00:00 ;1508.83645433
2017-10-06 00:00:00 ;1428.53626526
2017-10-07 00:00:00 ;1943.42022545
2017-10-08 00:00:00 ;2698.82942919
2017-10-09 00:00:00 ;1320.06713965
2017-10-10 00:00:00 ;1332.95258212
2017-10-11 00:00:00 ;1870.1749401
2017-10-12 00:00:00 ;2133.68316706
2017-10-13 00:00:00 ;2285.45986736
2017-10-14 00:00:00 ;4541.12144395
2017-10-15 00:00:00 ;3999.62316845
2017-10-16 00:00:00 ;3821.56245226
2017-10-17 00:00:00 ;4087.18180345
2017-10-18 00:00:00 ;4017.54888776
2017-10-19 00:00:00 ;3593.31287885
2017-10-20 00:00:00 ;4334.61951829
2017-10-21 00:00:00 ;4793.9069108
2017-10-22 00:00:00 ;4589.27480006
2017-10-23 00:00:00 ;4686.14222058
2017-10-24 00:00:00 ;4329.25874701
2017-10-25 00:00:00 ;4427.47667878
2017-10-26 00:00:00 ;4748.49655675
2017-10-27 00:00:00 ;4486.61448809
2017-10-28 00:00:00 ;4283.37934307
2017-10-29 00:00:00 ;4378.0952177
2017-10-30 00:00:00 ;4387.22207819
2017-10-31 00:00:00 ;4627.18558813
2017-11-01 00:00:00 ;4514.23915232
2017-11-02 00:00:00 ;4463.18669923
2017-11-03 00:00:00 ;4548.97067164
2017-11-04 00:00:00 ;4291.57867386
2017-11-05 00:00:00 ;4253.39455562
2017-11-06 00:00:00 ;4295.55663063
2017-11-07 00:00:00 ;4562.13337809
2017-11-08 00:00:00 ;4202.2159325
2017-11-09 00:00:00 ;4407.74210947
2017-11-10 00:00:00 ;3999.15337785
2017-11-11 00:00:00 ;4319.336601
2017-11-12 00:00:00 ;4240.38698626
2017-11-13 00:00:00 ;4261.37465568
2017-11-14 00:00:00 ;4522.21859448
2017-11-15 00:00:00 ;4609.22730061
