datetime;p
2017-10-02 00:00:00 ;2501.42295502
2017-10-03 00:00:00 ;2137.96960789
2017-10-04 00:00:00 ;1750.59924309
2017-10-05 00:00:00 ;1942.46328337
2017-10-06 00:00:00 ;2036.03394519
2017-10-07 00:00:00 ;1928.80070598
2017-10-08 00:00:00 ;1885.98824115
2017-10-09 00:00:00 ;1999.98250041
2017-10-10 00:00:00 ;1886.86764042
2017-10-11 00:00:00 ;2122.21860858
2017-10-12 00:00:00 ;2144.38867606
2017-10-13 00:00:00 ;2071.62414787
2017-10-14 00:00:00 ;2220.15432692
2017-10-15 00:00:00 ;1955.63975371
2017-10-16 00:00:00 ;1718.37984074
2017-10-17 00:00:00 ;2069.58822236
2017-10-18 00:00:00 ;1936.80002546
2017-10-19 00:00:00 ;1493.69618417
2017-10-20 00:00:00 ;2551.55480197
2017-10-21 00:00:00 ;2490.81694656
2017-10-22 00:00:00 ;2718.45783035
2017-10-23 00:00:00 ;2698.79197
2017-10-24 00:00:00 ;2783.70474063
2017-10-25 00:00:00 ;2458.31294414
2017-10-26 00:00:00 ;2577.52402171
2017-10-27 00:00:00 ;2726.11525196
2017-10-28 00:00:00 ;2646.5038888
2017-10-29 00:00:00 ;2425.00379621
2017-10-30 00:00:00 ;2806.33592204
2017-10-31 00:00:00 ;2660.43520983
2017-11-01 00:00:00 ;2769.82191384
2017-11-02 00:00:00 ;2400.05476788
2017-11-03 00:00:00 ;2550.43855974
2017-11-04 00:00:00 ;2197.49462975
2017-11-05 00:00:00 ;2234.10679275
2017-11-06 00:00:00 ;2185.01689776
2017-11-07 00:00:00 ;2414.63689078
2017-11-08 00:00:00 ;2605.900603
2017-11-09 00:00:00 ;2298.66597995
2017-11-10 00:00:00 ;2474.32648928
2017-11-11 00:00:00 ;2243.23901067
2017-11-12 00:00:00 ;2684.90540619
2017-11-13 00:00:00 ;2563.95239694
2017-11-14 00:00:00 ;2745.52346011
2017-11-15 00:00:00 ;2762.8610796
